,Name,User_name,Date,Content,Comments,Forward,Like,language,1,Restaurant
105,Fran,@Fran73·2017年5月26日,2017-05-26,"Omg! Lush pizza! (@ Bleecker Street Pizza - @bleeckerpizza in New York, NY) https://swarmapp.com/c/g8MiXGQDhb4",,,3,en,,Bleecker Street Pizza New York
106,Adrian Casas,@AHdriancasas·2017年4月30日,2017-04-30,When in Rome errrr I mean New York #pizza #nyc #iheartny @ John's of Bleecker Street https://instagram.com/p/BThiPqLBZRA/,,,,en,,Bleecker Street Pizza New York
107,Michael ˗ˋˏMaccaˎˊ˗ McKelvaney,@mckelvaney·2017年4月14日,2017-04-14,"(@ Bleecker Street Pizza - @bleeckerpizza in New York, NY w/ @laraelight) https://swarmapp.com/c/dbRX8PFfrHB",,,1,en,,Bleecker Street Pizza New York
108,Spanish Rob,@SpanishRobNYC·2017年3月14日,2017-03-14,"Marotta's going away pizza party (@ John's of Bleecker Street - @johnsbleecker in New York, NY) https://swarmapp.com/c/jWtSV0QRx6a",,,,en,,Bleecker Street Pizza New York
109,Scott Kornberg,@ScottKornberg·2017年3月10日,2017-03-10,New York pizza: still amazing @ John's of Bleecker Street https://instagram.com/p/BReZ0mFF44P/,,,,en,,Bleecker Street Pizza New York
110,Brenton Miles,@brentonmiles·2017年2月23日,2017-02-23,New York City Pizza Quest!  @ Bleecker Street Pizza https://instagram.com/p/BQ3UhdUhG2c/,,1,1,en,,Bleecker Street Pizza New York
111,ShawnB,@bnwahs·2017年2月17日,2017-02-17,"All the pizza (@ John's of Bleecker Street - @johnsbleecker in New York, NY) https://swarmapp.com/c/k3ahptt2sZZ",,,,en,,Bleecker Street Pizza New York
112,Nick Runge,@nickshecks·2017年2月5日,2017-02-05,"I'm at Bleecker Street Pizza - @bleeckerpizza in New York, NY https://swarmapp.com/c/l8lKGLRr0H3",,,1,en,,Bleecker Street Pizza New York
113,Kim Carpenter,@KimMarie_C·2017年1月24日,2017-01-24,"I'm at Bleecker Street Pizza - @bleeckerpizza in New York, NY https://swarmapp.com/c/hVeK7MKAmwO",,,1,en,,Bleecker Street Pizza New York
114,AJ,@AtotheJeezy·2017年1月15日,2017-01-15,"I'm at Bleecker Street Pizza - @bleeckerpizza in New York, NY https://swarmapp.com/c/l37WNEj1rRi",,,1,en,,Bleecker Street Pizza New York
115,Lee Boggs,@leeboggs·2017年1月7日,2017-01-07,Bleecker Street Pizza. #pizza #bleeckerstreet #manhattan #newyork @ Bleecker Street Pizza https://instagram.com/p/BO-OMseAKX4/,,1,,sv,,Bleecker Street Pizza New York
116,Athena Kiapos,@athennakiapos·2017年1月2日,2017-01-02,"New York, I  you! @ Bleecker Street Pizza https://instagram.com/p/BOxOTILA_ne/",,1,,en,,Bleecker Street Pizza New York
117,JUSTIN RIVERA,@JUSTINRIVERA·2016年12月22日,2016-12-22,#bomb #pizza.#ny #nyc #newyork #foodie — eating pizza at John's of Bleecker Street http://fb.me/16NjPLvNn,,,1,en,,Bleecker Street Pizza New York
118,"Mark ""Sarge"" Yuhas",@sargeontour·2016年12月21日,2016-12-21,"Yes pizza again!!!! (@ John's of Bleecker Street - @johnsbleecker in New York, NY) https://swarmapp.com/c/hB6zADtXKiZ",,,1,en,,Bleecker Street Pizza New York
119,Tanner Smith,@TannerLD·2016年11月20日,2016-11-20,"Pizza (@ John's of Bleecker Street in New York, NY w/ @ryanashcraft) https://swarmapp.com/c/3gVAfQPt7xJ",1,,,en,,Bleecker Street Pizza New York
120,The Mayor,@JBass81·2016年11月6日,2016-11-06,"Next stop (@ Bleecker Street Pizza - @bleeckerpizza in New York, NY) https://swarmapp.com/c/krWSMYsBUKE",,1,,en,,Bleecker Street Pizza New York
121,Sharleen,@simplysharleen·2016年10月11日,2016-10-10,"Pizza for Columbus Day (@ John's of Bleecker Street in New York, NY) https://swarmapp.com/c/90QJk50gzPn",,,,en,,Bleecker Street Pizza New York
122,Kaymarban,@Kaymarban·2016年9月27日,2016-09-26,Finding cozy spots and pizza! #pizza #newyork @ John's of Bleecker Street https://instagram.com/p/BK1kJWYhGDl/,1,,1,en,,Bleecker Street Pizza New York
123,JUCAS,@jucas·2016年9月20日,2016-09-20,"Pizza  (@ Bleecker Street Pizza - @bleeckerpizza in New York, NY) https://swarmapp.com/c/dV02aY3iDHX",,,1,sv,,Bleecker Street Pizza New York
124,Stephen Caldwell,@StephenCaldwell·2016年9月12日,2016-09-11,"I'm at Bleecker Street Pizza - @bleeckerpizza in New York, NY https://swarmapp.com/c/jx53CF13nN1",,,,en,,Bleecker Street Pizza New York
125,Tim Bowman,@Enchanter219·2016年9月4日,2016-09-04,"Best pizza in NY? (@ Bleecker Street Pizza - @bleeckerpizza in New York, NY) https://swarmapp.com/c/6GjhBx98mS5",,,1,sv,,Bleecker Street Pizza New York
126,Nikki Foster,@thenikkifoster·2016年9月4日,2016-09-04,"Best pizza in NYC (@ Bleecker Street Pizza - @bleeckerpizza in New York, NY) https://swarmapp.com/c/eVDxQNB5RFN",,,,sv,,Bleecker Street Pizza New York
127,Liz Stolfi,@mypoproks·2016年9月1日,2016-08-31,"Make Pizza Great Again (@ John's of Bleecker Street - @johnsbleecker in New York, NY) http://4sq.com/2c1ueAK",1,,,en,,Bleecker Street Pizza New York
128,Audrey SJ,@audrey_mariano·2016年8月29日,2016-08-29,"One of the best! (@ Bleecker Street Pizza - @bleeckerpizza in New York, NY) https://swarmapp.com/c/hAZ18SiuZsc",,,,en,,Bleecker Street Pizza New York
129,Laura Burella,@LauraSerrano10·2016年8月18日,2016-08-18,"Mmmmm pizza (@ John's of Bleecker Street - @johnsbleecker in New York, NY) https://swarmapp.com/c/5woZvwZHlOS",,,,en,,Bleecker Street Pizza New York
130,Joe Gramc,@JoeGramc·2016年8月14日,2016-08-14,"More pizza (@ Bleecker Street Pizza - @bleeckerpizza in New York, NY) https://swarmapp.com/c/89R9rtrbAtM",,,,en,,Bleecker Street Pizza New York
131,Michael Ragone,@meragone·2016年8月13日,2016-08-13,"I'm at Bleecker Street Pizza - @bleeckerpizza in New York, NY w/ @centenosteve https://swarmapp.com/c/ap8QywKvZOs",,,,en,,Bleecker Street Pizza New York
132,Sharleen,@simplysharleen·2016年8月12日,2016-08-12,"Pizza and Coke! I'm in heaven  (@ John's of Bleecker Street in New York, NY) https://swarmapp.com/c/fBWQZ8dEsKi",,,1,en,,Bleecker Street Pizza New York
133,JUCAS,@jucas·2016年8月6日,2016-08-06,"Te amo @bleeckerpizza por darme rica  (@ Bleecker Street Pizza - @bleeckerpizza in New York, NY) https://swarmapp.com/c/1AR4CAmdSv0",,,,en,,Bleecker Street Pizza New York
134,Juani Ruiz Echazú,@heyimjuani·2016年6月20日,2016-06-20,"I'm at Bleecker Street Pizza - @bleeckerpizza in New York, NY https://swarmapp.com/c/2gLc7XQPcCj",,,1,en,,Bleecker Street Pizza New York
135,Fuecoco state of mind,@jzamorak·2016年6月5日,2016-06-05,"I'm at Bleecker Street Pizza - @bleeckerpizza in New York, NY https://swarmapp.com/c/2lwIiCa4KN7",,,1,en,,Bleecker Street Pizza New York
136,Tony Fidyk,@TFidyk·2016年5月7日,2016-05-06,"I'm at Bleecker Street Pizza - @bleeckerpizza in New York, NY https://swarmapp.com/c/8CD2GuK48Xk",,,,en,,Bleecker Street Pizza New York
137,Nikki Foster,@thenikkifoster·2016年4月25日,2016-04-25,"Best pizza in NYC (@ Bleecker Street Pizza - @bleeckerpizza in New York, NY) https://swarmapp.com/c/8YLe6lLTdUO",,,,sv,,Bleecker Street Pizza New York
138,Adj Jay,@Spookym3·2016年4月23日,2016-04-23,New York Pizza and BEER!!!!  can't think of a better combination. @ John's of Bleecker Street https://instagram.com/p/BEhnFXFOlE0/,,,,en,,Bleecker Street Pizza New York
139,Phoenix Robles,@detectedbeats·2016年4月20日,2016-04-20,"I'm at Bleecker Street Pizza - @bleeckerpizza in New York, NY https://swarmapp.com/c/40IUzjIg3BH",,,,en,,Bleecker Street Pizza New York
140,Ken Key (he/him/his),@GaytorKen1·2016年4月10日,2016-04-10,"Pizza in the Village (@ Bleecker Street Pizza - @bleeckerpizza in New York, NY) https://swarmapp.com/c/dZrjsE7cbHx",,,,sv,,Bleecker Street Pizza New York
141,Puertorriqueñísima,@PepitaDeJobo·2016年4月9日,2016-04-09,"Aquí! (@ Bleecker Street Pizza - @bleeckerpizza in New York, NY) https://swarmapp.com/c/agaVFrF0jXh",,,,tl,,Bleecker Street Pizza New York
142,Rob Smith,@chicago3j·2016年3月30日,2016-03-30,"I'm at Bleecker Street Pizza - @bleeckerpizza in New York, NY https://swarmapp.com/c/hKBBkSSWiA2",,,,en,,Bleecker Street Pizza New York
143,Tim Pennington,@trpiii·2016年3月20日,2016-03-20,"PIZZA (@ John's of Bleecker Street - @johnsbleecker in New York, NY) https://swarmapp.com/c/iKW8PE6E6XB",,,,en,,Bleecker Street Pizza New York
144,Miguel Bernas,@phatfreemiguel·2016年3月19日,2016-03-19,"I'm at Bleecker Street Pizza - @bleeckerpizza in New York, NY https://swarmapp.com/c/hxzi6l5gLRY",,,,en,,Bleecker Street Pizza New York
145,AM,@_AnnaisM·2016年3月12日,2016-03-12,"I'm at Bleecker Street Pizza - @bleeckerpizza in New York, NY https://swarmapp.com/c/3vkGG7KtqpP",,,,en,,Bleecker Street Pizza New York
146,The Call: Where Hip Hop Speaks,@TheCallHipHop·2016年3月5日,2016-03-05,Charlie L.'s Review of Bleecker Street Pizza - New York (5/5) on Yelp: So good it doesn't even need b... http://bit.ly/1YdA2WJ #YelpNYC,,,,en,,Bleecker Street Pizza New York
147,Vanessa Huang,@mznessaaa·2016年3月4日,2016-03-04,"Finance pizza party!  (@ John's of Bleecker Street - @johnsbleecker in New York, NY) https://swarmapp.com/c/0Enpf2vel6j",,,,en,,Bleecker Street Pizza New York
148,Your Money's On The Dresser,@Freedom102300·2016年2月11日,2016-02-10,"I'm at Bleecker Street Pizza - @bleeckerpizza in New York, NY https://swarmapp.com/c/2pjXULzIDwB",,,,en,,Bleecker Street Pizza New York
149,ꜱ,@dijcrap·2016年2月4日,2016-02-04,"I'm at Bleecker Street Pizza - @bleeckerpizza in New York, NY https://swarmapp.com/c/cqPWwfcIWel",1,,3,en,,Bleecker Street Pizza New York
150,pamela ,@floralgarden·2016年1月18日,2016-01-18,"Pizza (@ John's of Bleecker Street - @johnsbleecker in New York, NY w/ @paulkoller4) https://swarmapp.com/c/bkNDbRQFluo",,,,en,,Bleecker Street Pizza New York
151,Arch R,@Aathila·2016年1月3日,2016-01-02,"I'm at Bleecker Street Pizza - @bleeckerpizza in New York, NY https://swarmapp.com/c/ibomcZWKmGx",,,,en,,Bleecker Street Pizza New York
152,Puertorriqueñísima,@PepitaDeJobo·2015年12月22日,2015-12-22,"I'm at Bleecker Street Pizza - @bleeckerpizza in New York, NY https://swarmapp.com/c/2jY9jsSDIKQ",,,,en,,Bleecker Street Pizza New York
153,Mousa Ackall,@mousAAckall·2015年12月16日,2015-12-16,"I'm at Bleecker Street Pizza - @bleeckerpizza in New York, NY https://swarmapp.com/c/g6l1PwAeWhL",,,,en,,Bleecker Street Pizza New York
154,John Stoj®,@StojBoj·2015年11月29日,2015-11-29,"The annual pilgrimage (@ Bleecker Street Pizza - @bleeckerpizza in New York, NY) https://swarmapp.com/c/3CzsdaJcR14",,,,en,,Bleecker Street Pizza New York
155,josue,@strupguafel·2015年11月26日,2015-11-26,"I'm at Bleecker Street Pizza - @bleeckerpizza in New York, NY https://swarmapp.com/c/gJtQcfIjKjD",,,,en,,Bleecker Street Pizza New York
156,Caitríona Mc Bride,@caitrionamcb·2015年11月16日,2015-11-16,@_melaniemay you HAVE to go to John's on Bleecker Street! It's the best piece of pie #pizza #NewYork,1,,,en,,Bleecker Street Pizza New York
157,Jonathan Ferret,@JukeboxNazi·2015年11月13日,2015-11-13,"I'm at Bleecker Street Pizza - @bleeckerpizza in New York, NY https://swarmapp.com/c/llH75mLj8Vi",,,1,en,,Bleecker Street Pizza New York
158,Lisa Marie Sicora,@pianogirl1966·2015年11月10日,2015-11-10,"“Food Network just named the best pizza in New York,” two signs in the window of Bleecker Street Piz http://pinterest.com/pin/225531893816816878/…",1,,1,en,,Bleecker Street Pizza New York
159,Marvin Washington,@harlemsmover·2015年11月5日,2015-11-05,"I'm at Bleecker Street Pizza - @bleeckerpizza in New York, NY https://swarmapp.com/c/bPiK5fTBgQ5",1,,,en,,Bleecker Street Pizza New York
160,Vivek Girotra,@vivekgirotra·2015年10月31日,2015-10-31,"I'm at Bleecker Street Pizza - @bleeckerpizza in New York, NY https://swarmapp.com/c/hQ6IrRBxRhF",,,,en,,Bleecker Street Pizza New York
161,Bobby Isaacson,@bobbyisaacson·2015年10月25日,2015-10-25,"Hope this is good... (@ Bleecker Street Pizza - @bleeckerpizza in New York, NY) https://swarmapp.com/c/ddfC6UDHm60",,,1,en,,Bleecker Street Pizza New York
162,Xavier Ibn-La'Ahad,@tortugaconqueso·2015年10月16日,2015-10-16,"I'm at Bleecker Street Pizza - @bleeckerpizza in New York, NY https://swarmapp.com/c/aILPsSNupm4",,,,en,,Bleecker Street Pizza New York
163,The Call: Where Hip Hop Speaks,@TheCallHipHop·2015年9月28日,2015-09-28,Tamara M.'s Review of Bleecker Street Pizza - New York (3/5) on Yelp: Don't come expecting friendly s... http://tinyurl.com/q79n65t #YelpNYC,,,,en,,Bleecker Street Pizza New York
164,RELEVANT,@RELEVANT·2015年9月28日,2015-09-28,ICYMI: Bleecker Street Pizza in New York made the first pope pizza: http://relm.ag/1YCt92p,,1,3,en,,Bleecker Street Pizza New York
165,Gaby García,@garciag82·2015年9月25日,2015-09-25,"1st stop ay food tour! (@ Bleecker Street Pizza - @bleeckerpizza in New York, NY) https://swarmapp.com/c/dwdxlffsogH",1,,,en,,Bleecker Street Pizza New York
166,RELEVANT,@RELEVANT·2015年9月25日,2015-09-25,Bleecker Street Pizza in New York made the first pope pizza: http://relm.ag/1YCt92p,,,9,en,,Bleecker Street Pizza New York
167,E.L. Robinson,@elrobinson82·2015年9月20日,2015-09-20,"My girl treating me to my first slice of NY Pizza.......and at Bleecker Street no less! @ New York,… https://instagram.com/p/71XBVAyNek/",,,,en,,Bleecker Street Pizza New York
168,Melody,@melodyChristl·2015年9月16日,2015-09-16,"I'm at Bleecker Street Pizza - @bleeckerpizza in New York, NY https://swarmapp.com/c/bzjA0L9XZQK",,,,en,,Bleecker Street Pizza New York
169,Joyce Williams,@cityjoyce·2015年9月16日,2015-09-16,Looking for the best pizza of New York? Go to John´s Pizzeria of Bleecker street (278 Bleecker street). #newyork,,,,en,,Bleecker Street Pizza New York
170,Robert Liddick,@RLiddick·2015年9月11日,2015-09-11,"Best Pizza in NYC!!! (@ Bleecker Street Pizza - @bleeckerpizza in New York, NY) https://swarmapp.com/c/hwpNkjTv882",,,,sv,,Bleecker Street Pizza New York
171,"Jameel S. Williams, Esq.",@meel_ticket216·2015年9月5日,2015-09-05,Johns Pizza #pizzasummit #newyork  @ John's of Bleecker Street https://instagram.com/p/7QsWS1g4HK/,,,,en,,Bleecker Street Pizza New York
172,Hunter Ladd,@hunterladd·2015年9月1日,2015-09-01,"I'm at Bleecker Street Pizza - @bleeckerpizza in New York, NY https://swarmapp.com/c/aOF36cQ5PrU",,,,en,,Bleecker Street Pizza New York
173,Wants to hit aces,@tenniscrowd·2015年8月31日,2015-08-30,Best slices so far. #travel #newyork #usopen #tennis #pizza @ Bleecker Street Pizza https://instagram.com/p/7Bt7iqP0ej/,,,,en,,Bleecker Street Pizza New York
174,Mike Sirois （司扬）,@TheMikeSirois·2015年8月19日,2015-08-19,"10 slices, 3 days. #NewYork #Pizza #America @ Bleecker Street Pizza https://instagram.com/p/6jXsnpzGpt/",,,,en,,Bleecker Street Pizza New York
175,Mooseface,@mooseface1029·2015年8月9日,2015-08-09,"#pizza (@ Bleecker Street Pizza - @bleeckerpizza in New York, NY) https://swarmapp.com/c/lontSJ5rhBO",,,,en,,Bleecker Street Pizza New York
176,Erick,@EBatt732·2015年8月8日,2015-08-08,"I'm at Bleecker Street Pizza - @bleeckerpizza in New York, NY https://swarmapp.com/c/0tQG8HGHtzp",,,,en,,Bleecker Street Pizza New York
177,Puertorriqueñísima,@PepitaDeJobo·2015年8月6日,2015-08-05,"I'm at Bleecker Street Pizza - @bleeckerpizza in New York, NY https://swarmapp.com/c/iuVs8TEDYb8",1,,1,en,,Bleecker Street Pizza New York
178,jcgarza,@jcgarza·2015年7月16日,2015-07-15,"I'm at Bleecker Street Pizza - @bleeckerpizza in New York, NY https://swarmapp.com/c/j4xGCT7s52M",,,,en,,Bleecker Street Pizza New York
179,David Veech,@davidveech·2015年7月12日,2015-07-12,"Pizza for lunch with most of the tour group! (@ John's of Bleecker Street - @johnsbleecker in New York, NY) https://swarmapp.com/c/a7OagAahbMu",,,,en,,Bleecker Street Pizza New York
180,Joyce Williams,@cityjoyce·2015年7月10日,2015-07-10,Looking for the best pizza of New York? Go to John´s Pizzeria of Bleecker street (278 Bleecker street).,,,,en,,Bleecker Street Pizza New York
181,Alexa Hess,@amh_hess·2015年7月10日,2015-07-10,#NYC Recommendation: John's of Bleecker Street - best New York #pizza yet,,,,en,,Bleecker Street Pizza New York
182,Catherine “Get Boosted Good People” Porter,@CatPeculiar·2015年7月5日,2015-07-04,"Pizza (@ John's of Bleecker Street - @johnsbleecker in New York, NY w/ @barrypwp) https://swarmapp.com/c/7DJNNULItRk",,,,en,,Bleecker Street Pizza New York
183,mortendk,@mortendk·2015年7月3日,2015-07-03,"I was told to get pizza here (@ Bleecker Street Pizza - @bleeckerpizza in New York, NY) https://swarmapp.com/c/cqsj1fO9d8H",,,,en,,Bleecker Street Pizza New York
184,The Call: Where Hip Hop Speaks,@TheCallHipHop·2015年6月26日,2015-06-26,Cr R.'s Review of Bleecker Street Pizza - New York (4/5) on Yelp: This was my second visit. I took a ... http://tinyurl.com/q4qyhrp #YelpNYC,,,,en,,Bleecker Street Pizza New York
185,The Call: Where Hip Hop Speaks,@TheCallHipHop·2015年6月22日,2015-06-22,"Natasha C.'s Review of Bleecker Street Pizza - New York (4/5) on Yelp: Good food, rude staff http://tinyurl.com/nov4oxk #YelpNYC",,,,en,,Bleecker Street Pizza New York
186,Eron Uebele,@EronUebele·2015年6月5日,2015-06-05,"@GAFollowers @Jordan_Watkins_  at John's of Bleecker street, eating the best pizza in New York",,,1,en,,Bleecker Street Pizza New York
187,Pete Ireland,@peterireland·2015年5月31日,2015-05-30,Pizza in New York! BOOM! @ Bleecker Street Pizza https://instagram.com/p/3UpIcMqWLK/,1,,1,sv,,Bleecker Street Pizza New York
188,The Call: Where Hip Hop Speaks,@TheCallHipHop·2015年5月17日,2015-05-17,Manuel F.'s Review of John's Of Bleecker Street - New York (4/5) on Yelp: The pizza was is really goo... http://tinyurl.com/mxwgeo2 #YelpNYC,,,,en,,Bleecker Street Pizza New York
189,The Call: Where Hip Hop Speaks,@TheCallHipHop·2015年5月11日,2015-05-11,Karen C.'s Review of Bleecker Street Pizza - New York (3/5) on Yelp: I like Bleeker Street Pizza as a... http://tinyurl.com/ol7sad7 #YelpNYC,,,,en,,Bleecker Street Pizza New York
190,The Call: Where Hip Hop Speaks,@TheCallHipHop·2015年5月9日,2015-05-09,Joao M.'s Review of Bleecker Street Pizza - New York (1/5) on Yelp: The worst greasy thick pepperoni ... http://tinyurl.com/q698ocp #YelpNYC,,,,en,,Bleecker Street Pizza New York
191,Yhenny Velove,@YhenniVelove·2015年5月9日,2015-05-09,"I'm at Bleecker Street Pizza - @bleeckerpizza in New York, NY https://swarmapp.com/c/4cZ4LBy4uaj",,,,en,,Bleecker Street Pizza New York
192,Levi Jennekens,@Levi89·2015年4月22日,2015-04-22,"Beste pizza in New York  (@ Bleecker Street Pizza - @bleeckerpizza in New York, NY) https://swarmapp.com/c/cEFONZF76iq",,,,sv,,Bleecker Street Pizza New York
193,The Call: Where Hip Hop Speaks,@TheCallHipHop·2015年4月19日,2015-04-19,Jared O.'s Review of Bleecker Street Pizza - New York (2/5) on Yelp: Definitely no longer worthy of i... http://tinyurl.com/p5gcegm #YelpNYC,,,,en,,Bleecker Street Pizza New York
194,colabDotCA,@colabdotca·2015年4月18日,2015-04-17,"PIZZA PARTY!!! (@ John's of Bleecker Street - @johnsbleecker in New York, NY w/ @yaryna)",,,,en,,Bleecker Street Pizza New York
195,22nd&Philly,@22ndandPhilly·2015年4月11日,2015-04-11,"One month til baby. So we drove to NY for pizza. (@ John's of Bleecker Street - @johnsbleecker in New York, NY) https://swarmapp.com/c/2dXhFL8sy3S",,,2,en,,Bleecker Street Pizza New York
196,Chiyin Ng,@chiyinng·2015年3月29日,2015-03-29,"pizza!!!! (@ John's of Bleecker Street - @johnsbleecker in New York, NY) https://swarmapp.com/c/euGOzyuYBlw",,,1,en,,Bleecker Street Pizza New York
197,The Call: Where Hip Hop Speaks,@TheCallHipHop·2015年3月28日,2015-03-28,"Analog G.'s Review of John's Of Bleecker Street - New York (5/5) on Yelp: For me, the best pizza in M... http://tinyurl.com/qhqwvvj #YelpNYC",,,,en,,Bleecker Street Pizza New York
198,Carlo,@itzcarlooo·2015年3月26日,2015-03-25,"Best pizza in NY 3 years running? (@ Bleecker Street Pizza - @bleeckerpizza in New York, NY) https://swarmapp.com/c/gSKIjFucUG1",,,,en,,Bleecker Street Pizza New York
199,Out For Lunch,@OutForLunchBlog·2015年3月18日,2015-03-18,"Bleecker Street Pizza – Manhattan, New York http://wp.me/p3taSc-aA",,,,sv,,Bleecker Street Pizza New York
200,Veronica Presents,@veronicabooking·2015年3月14日,2015-03-14,Pi day  New York style. #piday #pizzapie #314 @ Bleecker Street Pizza https://instagram.com/p/0Oa7AXj3AN/,,,,en,,Bleecker Street Pizza New York
201,Nicole Monahan Dillon,@Nicole_Monahan·2015年3月14日,2015-03-14,"NY Food Tour! 1st Stop (@ Bleecker Street Pizza in New York, NY) https://swarmapp.com/c/ghwzJCScqe5",,,,en,,Bleecker Street Pizza New York
202,Beth Wischnia,@BethWischnia·2015年3月10日,2015-03-10,"My pizza (@ Bleecker Street Pizza - @bleeckerpizza in New York, NY) https://swarmapp.com/c/lJjgsXuoLvx",,,,en,,Bleecker Street Pizza New York
203,XCoastie,@krchadwick2·2015年2月28日,2015-02-28,"Best pizza in NYC (@ John's of Bleecker Street - @johnsbleecker in New York, NY) https://swarmapp.com/c/i28hLgqVhhK",,,,en,,Bleecker Street Pizza New York
204,Louise Sheingold,@ZumbaLouiseNYC·2015年2月14日,2015-02-14,"Valentine's Day pizza with my hubby and youngest son. (@ John's of Bleecker Street - @johnsbleecker in New York, NY) https://swarmapp.com/c/a7r4sfEuQr2",,,,en,,Bleecker Street Pizza New York
205,sarah,@_5arah·2015年2月2日,2015-02-02,"Bleecker Street Pizza on #Yelp: On a random Saturday we were craving for some ""New York Pizza."" Yelp led me to this … http://yelp.com/biz/bleecker-street-pizza-new-york?hrid=UsUtUp76L2-7FdtvRE3yqA&pt=review&ref=twitter&v=3…",1,,,en,,Bleecker Street Pizza New York
206,Allison Kaminski,@AllisonKaminski·2015年1月31日,2015-01-31,"Pizza pizza! (@ Bleecker Street Pizza - @bleeckerpizza in New York, NY) https://swarmapp.com/c/d4aWqyKdjTy",,,,sv,,Bleecker Street Pizza New York
207,Karin,@karinsfraiche·2015年1月17日,2015-01-17,"I'm at Bleecker Street Pizza - @bleeckerpizza in New York, NY https://swarmapp.com/c/dNxDvyDISQb",,,,en,,Bleecker Street Pizza New York
208,Louise Sheingold,@ZumbaLouiseNYC·2015年1月17日,2015-01-17,"Friday pizza night courtesy of Brett (@ John's of Bleecker Street - @johnsbleecker in New York, NY) https://swarmapp.com/c/6hpaRgaerBe",,,,en,,Bleecker Street Pizza New York
209,Mudim.java,@LukazRocha·2015年1月5日,2015-01-05,"I'm at Bleecker Street Pizza - @bleeckerpizza in New York, NY http://4sq.com/1Ig5gTp",,,,en,,Bleecker Street Pizza New York
210,Master Light Illuminator,@robertstern77·2014年12月27日,2014-12-27,"Best Pizza in NY my ass Food Network.  Joes is better (@ Bleecker Street Pizza - @bleeckerpizza in New York, NY) https://swarmapp.com/c/cx8E2VlNiEo",,,,en,,Bleecker Street Pizza New York
211,DevoutBeauty,@DevoutBeauty·2014年12月27日,2014-12-27,"I'm at Bleecker Street Pizza - @bleeckerpizza in New York, NY https://swarmapp.com/c/1cExDlQsdSR",,,,en,,Bleecker Street Pizza New York
212,John Stoj®,@StojBoj·2014年12月15日,2014-12-15,"Eating some of our favorite #NYC #pizza @kimbodh (@ Bleecker Street Pizza - @bleeckerpizza in New York, NY) https://swarmapp.com/c/aJVRtEyHEQ6",1,,,en,,Bleecker Street Pizza New York
213,BleeckerStreetPizza,@BleeckerPizza·2014年12月4日,2014-12-04,"NEW YORK CITY. BREAKING NEWS. Pizza is delicious. For more on this story, visit Bleecker Street Pizza.",,,1,en,,Bleecker Street Pizza New York
214,Dilek Kazak,@DilekKazak·2014年11月27日,2014-11-27,"(@ Bleecker Street Pizza - @bleeckerpizza in New York, NY) https://swarmapp.com/c/48twuq7DPvU",,,,en,,Bleecker Street Pizza New York
215,moni,@monimoni2_·2014年11月26日,2014-11-26,Natalie having her first slice #proud #newyork #pizza #blessed @ Bleecker Street Pizza http://instagram.com/p/v2gdE0D8Q1/,,,,en,,Bleecker Street Pizza New York
216,STEPH,@teptepxo·2014年11月10日,2014-11-10,"PIZZA!!!! #NYC  (@ John's of Bleecker Street - @johnsbleecker in New York, NY) https://swarmapp.com/c/33CxGrtU94f",,,,en,,Bleecker Street Pizza New York
217,Teshawn LeVarr Edmonds,@TeshawnEdmonds·2014年11月7日,2014-11-07,"I'm at Bleecker Street Pizza - @bleeckerpizza in New York, NY https://swarmapp.com/c/kZXiLXuXiv5",,,,en,,Bleecker Street Pizza New York
218,Raez P,@raezp·2014年11月4日,2014-11-04,"Pizza might with Sam, Liz and Rena - (@ John's of Bleecker Street - @johnsbleecker in New York, NY) http://4sq.com/1rVyBtC",,,,en,,Bleecker Street Pizza New York
219,toprestaurantsgroup,@TRGtweet·2014年11月2日,2014-11-02,"Kesté Pizza & Vino, 271 Bleecker Street, New York, NY 10014, T: 212-243-1500#kestepizzeria #kestepizza #topnycrestau",,,,en,,Bleecker Street Pizza New York
